Player,Team,Position,GP,TOI,Goals,Total_Assists,Primary_Assist,Secondary_Assist,Total_Points,goals_per_60,assists_per_60,points_per_60,IPP,Shots,Shooting_Perc,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Perc
Boone Jenner,CBJ,C,21,307.6833,5,2,0,2,7,0.975,0.390,1.365,58.33,37,13.51,3.89,62,51,47,20,4,5,6,3,3,0,0,3,10,7,16,16,17,164,112,59.42
Alex Wennberg,SEA,C,23,334.3333,1,6,4,2,7,0.179,1.077,1.256,58.33,23,4.35,2.00,38,31,21,10,1,3,4,2,2,0,0,3,9,13,12,20,8,145,157,48.01
Jakob Silfverberg,ANA,R,18,228.2333,0,7,3,4,7,0.000,1.840,1.840,58.33,31,0.00,2.04,40,33,20,12,2,6,4,2,2,0,0,4,5,14,7,18,14,1,5,16.67
Jakub Voracek,CBJ,R,21,263.8167,0,7,7,0,7,0.000,1.592,1.592,58.33,23,0.00,1.30,40,28,21,5,1,0,8,4,4,0,0,5,5,13,5,16,7,1,10,9.09
Jesse Puljujarvi,EDM,R,21,308.7833,5,6,3,3,11,0.972,1.166,2.137,57.89,43,11.63,4.55,73,64,44,19,3,4,4,2,2,0,0,2,5,5,19,32,4,0,0,0.00
Julien Gauthier,NYR,R,12,128.3000,1,3,2,1,4,0.468,1.403,1.871,57.14,25,4.00,3.15,35,30,29,23,2,4,2,1,1,0,0,3,5,5,27,19,3,0,0,0.00
P.K. Subban,N.J,D,21,339.5000,1,7,3,4,8,0.177,1.237,1.414,57.14,31,3.23,1.26,77,41,26,3,8,0,8,4,4,0,0,2,11,9,25,26,26,0,0,0.00
Gavin Bayreuther,CBJ,D,13,183.5833,0,4,0,4,4,0.000,1.307,1.307,57.14,16,0.00,0.36,26,20,5,0,0,2,11,4,3,1,0,1,3,4,18,21,16,0,0,0.00
Pat Maroon,T.B,L,21,236.9333,2,2,1,1,4,0.506,0.506,1.013,57.14,33,6.06,2.82,41,40,32,23,5,0,20,7,5,2,0,1,0,7,34,28,3,17,4,80.95
Cody Eakin,BUF,C,18,216.3000,2,2,0,2,4,0.555,0.555,1.110,57.14,26,7.69,1.67,38,31,19,11,1,2,6,3,3,0,0,3,3,5,7,8,8,106,75,58.56
Jason Spezza,TOR,C,24,230.4000,3,1,0,1,4,0.781,0.260,1.042,57.14,27,11.11,2.31,53,39,22,8,3,4,10,5,5,0,0,3,12,13,10,9,11,88,64,57.89
Adam Erne,DET,L,23,284.2667,2,2,2,0,4,0.422,0.422,0.844,57.14,31,6.45,2.44,52,42,33,11,0,4,0,0,0,0,0,3,10,9,60,8,15,14,11,56.00
Brett Howden,VGK,C,18,165.2167,2,2,1,1,4,0.726,0.726,1.453,57.14,11,18.18,2.11,20,18,19,15,2,3,2,1,1,0,0,3,6,4,20,17,11,45,44,50.56
Michael Raffl,DAL,L,21,262.4833,2,2,2,0,4,0.457,0.457,0.914,57.14,22,9.09,2.04,38,34,23,9,0,0,4,1,1,0,0,4,11,5,37,25,5,2,2,50.00
Josh Bailey,NYI,R,13,172.8167,1,3,2,1,4,0.347,1.042,1.389,57.14,8,12.50,0.84,15,10,11,3,0,1,0,0,0,0,0,1,5,10,7,7,6,9,10,47.37
Jake Leschyshyn,VGK,C,18,199.0167,1,3,2,1,4,0.301,0.904,1.206,57.14,18,5.56,1.63,28,21,18,11,0,2,2,1,1,0,0,3,1,7,17,32,13,57,69,45.24
