date,visitor, visitor_goals,home,home_goals,extra_time
2021-12-11,Washington Capitals,3,Buffalo Sabres,2,SO
2021-12-11,Boston Bruins,4,Calgary Flames,2,no
2021-12-11,Carolina Hurricanes,3,Edmonton Oilers,1,no
2021-12-11,Minnesota Wild,1,Los Angeles Kings,2,no
2021-12-11,New Jersey Devils,2,New York Islanders,4,no
2021-12-11,Tampa Bay Lightning,0,Ottawa Senators,4,no
2021-12-11,Anaheim Ducks,0,Pittsburgh Penguins,1,no
2021-12-11,Columbus Blue Jackets,5,Seattle Kraken,4,OT
2021-12-11,Dallas Stars,1,San Jose Sharks,2,no
2021-12-11,Montreal Canadiens,1,St. Louis Blues,4,no
2021-12-11,Chicago Blackhawks,4,Toronto Maple Leafs,5,no
2021-12-12,Florida Panthers,2,Colorado Avalanche,3,no
